Model,Accuracy,Precision,Recall,F1 Score
Logistic Regression,0.8218594748048261,0.6871165644171779,0.6005361930294906,0.6409155937052933
Random Forest,0.7913413768630234,0.6457564575645757,0.4691689008042895,0.5434782608695652
